FSSSI,CERTHHSZ,FSSLTDED,FSERNDED,FSUSIZE,FSDIS,REALPROP,FSERNDE2,SHELDED,FSGA,FSSTDDE2,FSNETINC,TPOV,LIQRESOR,FSASSET,RAWNET,FSNONCIT,FSNELDER,FSGRINC,FSTANF,WRK_POOR,FSEARN,FSSLTDE2,TANF_IND,FSWAGES,FSUNEARN,HWGT,FSTOTDE2,FSTOTDED,RAWERND,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,3.0,417.0,222.0,3.0,0.0,0.0,274.0,417.0,0.0,142.0,495.0,92.0,0.0,0.0,495.0,0.0,0.0,1268.0,0.0,1.0,1113.0,417.0,0.0,1113.0,155.0,866.5032035168679,773.0,773.0,223.0,0.0,1.0,0.0
0.0,1.0,417.0,162.0,1.0,0.0,0.0,212.0,417.0,0.0,170.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,812.0,0.0,1.0,812.0,387.0,0.0,812.0,0.0,711.655694960853,812.0,842.0,162.0,0.0,1.0,0.0
95.0,1.0,228.0,117.0,1.0,1.0,0.0,175.0,229.0,0.0,201.0,549.0,127.0,0.0,0.0,547.0,0.0,0.0,1041.0,0.0,1.0,589.0,228.0,0.0,589.0,452.0,869.2314375616089,492.0,492.0,118.0,1.0,1.0,0.0
0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,134.0,255.0,28.0,0.0,0.0,255.0,0.0,0.0,389.0,389.0,0.0,0.0,0.0,1.0,0.0,389.0,788.2586968401358,134.0,134.0,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,134.0,0.0,0.0,1.0,0.0
0.0,4.0,417.0,170.0,4.0,0.0,0.0,170.0,417.0,0.0,139.0,126.0,51.0,0.0,0.0,125.0,2.0,0.0,852.0,0.0,1.0,852.0,417.0,0.0,852.0,0.0,760.2697129613573,726.0,726.0,170.0,0.0,1.0,0.0
0.0,3.0,417.0,0.0,3.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,170.0,120.0,0.0,0.0,0.0,1.0,0.0,170.0,704.5805438707989,170.0,611.0,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,134.0,0.0,0.0,1.0,0.0
0.0,5.0,417.0,0.0,5.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.4949387192787,0.0,579.0,0.0,0.0,1.0,0.0
0.0,2.0,114.0,103.0,2.0,0.0,0.0,154.0,115.0,0.0,201.0,279.0,57.0,0.0,0.0,278.0,0.0,0.0,630.0,114.0,1.0,516.0,114.0,1.0,516.0,114.0,796.6865540457782,351.0,351.0,103.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,231.0,134.0,97.0,28.0,0.0,0.0,97.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,743.1708434696594,134.0,134.0,0.0,1.0,1.0,0.0
0.0,2.0,163.0,183.0,2.0,0.0,0.0,274.0,164.0,0.0,201.0,574.0,111.0,0.0,0.0,573.0,0.0,0.0,1226.0,310.0,1.0,916.0,163.0,1.0,916.0,310.0,892.3187288676908,652.0,652.0,183.0,1.0,1.0,0.0
0.0,2.0,417.0,0.0,2.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.4012962642042,0.0,551.0,0.0,0.0,1.0,0.0
0.0,2.0,0.0,203.0,2.0,0.0,0.0,203.0,0.0,0.0,134.0,678.0,92.0,0.0,0.0,678.0,0.0,0.0,1015.0,0.0,1.0,1015.0,0.0,0.0,1015.0,0.0,926.0073359137073,337.0,337.0,203.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,231.0,134.0,97.0,28.0,0.0,0.0,97.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,743.1708434696594,134.0,134.0,0.0,1.0,1.0,0.0
427.0,1.0,114.0,0.0,1.0,0.0,0.0,0.0,114.0,0.0,201.0,380.0,77.0,0.0,0.0,380.0,0.0,1.0,628.0,0.0,0.0,0.0,114.0,0.0,0.0,628.0,835.5428305209961,248.0,248.0,0.0,1.0,1.0,0.0
0.0,3.0,322.0,0.0,3.0,0.0,0.0,0.0,322.0,0.0,134.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,389.0,389.0,0.0,0.0,255.0,1.0,0.0,389.0,704.5805438707989,389.0,456.0,0.0,1.0,1.0,0.0
